,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
ISG15,0.44543148338254346,0.0,8.276118070182608e-05,0.0,0.009900990099009901,0.0001385431437298723,0.0,0.0,0.020627062706270627
HMGN2,0.43318669761834666,0.0,8.276118070182608e-05,0.0,0.009900990099009901,8.360545603852983e-05,0.0,0.0,0.020627062706270627
IFI6,0.38712277053401556,0.0,8.276118070182608e-05,0.0,0.009900990099009901,0.00012416775653236606,0.0,0.0,0.020627062706270627
STMN1,0.3611952506057879,0.0,8.276118070182608e-05,0.0,0.009900990099009901,0.00011425829919304579,0.0,0.0,0.020627062706270627
C1QB,0.33403892640827393,0.0,8.276118070182608e-05,0.0,0.009900990099009901,8.927442586459641e-05,0.0,0.0,0.020627062706270627
MARCKSL1,0.315471250878955,0.0,8.276118070182608e-05,0.0,0.009900990099009901,8.91914675121356e-05,0.0,0.0,0.020627062706270627
C1QA,0.3153571684991804,0.0,8.276118070182608e-05,0.0,0.009900990099009901,8.541645651779142e-05,0.0,0.0,0.020627062706270627
LDLRAP1,0.2715616752938976,0.0,8.276118070182608e-05,0.0,0.009900990099009901,0.00010860314649913008,0.0,0.0,0.020627062706270627
C1QC,0.24963128815881036,0.0,8.276118070182608e-05,0.0,0.009900990099009901,7.536653440415554e-05,0.0,0.0,0.020627062706270627
TNFRSF25,0.21692216338567002,0.0,8.276118070182608e-05,0.0,0.009900990099009901,9.622081364161018e-05,0.0,0.0,0.020627062706270627
PLA2G2D,0.1524315502222963,0.0,8.276118070182608e-05,0.0,0.009900990099009901,6.456902988213551e-05,0.0,0.0,0.020627062706270627
FUCA1,0.15225171904109347,0.0,8.276118070182608e-05,0.0,0.009900990099009901,6.716731876473243e-05,0.0,0.0,0.020627062706270627
PLA2G2A,0.12420566158272729,0.0,8.276118070182608e-05,0.0,0.009900990099009901,9.038159913441344e-05,0.0,0.0,0.020627062706270627
BMP8A,0.10966837534888542,0.0,8.276118070182608e-05,0.0,0.009900990099009901,4.455554401076703e-05,0.0,0.0,0.020627062706270627
HSPB7,0.09730059909948828,0.0,8.276118070182608e-05,0.0,0.009900990099009901,3.858308185457173e-05,0.0,0.0,0.020627062706270627
TNFRSF9,0.08119228225120277,0.0,8.276118070182608e-05,0.0,0.009900990099009901,5.337674310383672e-05,0.0,0.0,0.020627062706270627
GJA4,0.07045949241056491,3.885780586188048e-15,8.276118070182608e-05,0.0,0.009900990099009901,6.149744123730133e-05,2.2857532859929693e-14,0.0,0.020627062706270627
HEYL,0.0681850188288755,2.6867397195928788e-14,8.276118070182608e-05,0.0,0.009900990099009901,4.944218964481019e-05,1.4926331775515995e-13,0.0,0.020627062706270627
SLC2A5,0.06653773039581294,1.0580425424677742e-13,8.276118070182608e-05,0.0,0.009900990099009901,5.7517684171660046e-05,5.568644960356707e-13,0.0,0.020627062706270627
EFHD2,0.061386080782619375,6.221134718487065e-12,8.276118070182608e-05,0.0,0.009900990099009901,4.798086034905769e-05,3.1105673592435323e-11,0.0,0.020627062706270627
LSM10,0.05937855872561193,2.7949864644938316e-11,8.276118070182608e-05,2.9976021664879227e-15,0.009900990099009901,5.756743720745975e-05,1.330945935473253e-10,1.427429603089487e-14,0.020627062706270627
MEGF6,0.05037791272339764,1.3112415597760219e-08,8.276118070182608e-05,4.650835272457243e-12,0.009900990099009901,5.450654283417166e-05,5.960188908072827e-08,2.1140160329351105e-11,0.020627062706270627
PDE4B,0.04561693590573415,2.3083056366335342e-07,8.276118070182608e-05,3.726552399996308e-11,0.009900990099009901,5.079101663822982e-05,1.003611146362406e-06,1.5527301666651283e-10,0.020627062706270627
ALPL,0.04410575566543517,5.427074060149195e-07,8.276118070182608e-05,3.292477401828364e-11,0.009900990099009901,4.724535959150816e-05,2.261280858395498e-06,1.431511913838419e-10,0.020627062706270627
HES4,0.03986039410497082,5.196669562113065e-06,8.276118070182608e-05,1.8877404528439e-08,0.009900990099009901,5.1961859193449704e-05,2.078667824845226e-05,7.5509618113756e-08,0.020627062706270627
CLSTN1,0.03809580532713501,1.249687668092303e-05,8.276118070182608e-05,5.05331219091687e-08,0.009900990099009901,5.097894627060882e-05,4.7472348531620274e-05,1.8715971077469887e-07,0.020627062706270627
TNFRSF4,0.03804375503930207,1.2817534103537476e-05,8.276118070182608e-05,7.852666228380656e-08,0.009900990099009901,5.52555835991279e-05,4.7472348531620274e-05,2.707815940820916e-07,0.020627062706270627
MRPL20,0.037281064450217075,1.8512775461054787e-05,8.276118070182608e-05,2.5080991838954958e-08,0.009900990099009901,4.55551672601926e-05,6.61170552180528e-05,9.646535322674984e-08,0.020627062706270627
ATP6V0B,0.036363109447919865,2.8561134491567053e-05,8.276118070182608e-05,2.177024175376019e-07,0.009900990099009901,4.855213339970084e-05,9.848667066057606e-05,7.022658630245222e-07,0.020627062706270627
MXRA8,0.03579675650507178,3.714066075222178e-05,8.276118070182608e-05,5.324722318622577e-08,0.009900990099009901,4.7593656442842585e-05,0.00012380220250740592,1.9016865423652059e-07,0.020627062706270627
THRAP3,0.03547692761569163,4.300912889243502e-05,8.276118070182608e-05,1.3369905871307708e-07,0.009900990099009901,4.96953196495124e-05,0.00013873912545946782,4.456635290435903e-07,0.020627062706270627
SYNC,0.03228146263533967,0.00017462672308055094,8.276118070182608e-05,1.979528027273858e-06,0.009900990099009901,4.815493192000229e-05,0.0005457085096267217,6.186025085230806e-06,0.020627062706270627
OSBPL9,0.0301870449583641,0.00041066405082323953,8.276118070182608e-05,3.456322839123782e-05,0.009900990099009901,5.609640560592281e-05,0.0012444365176461803,9.52472002272112e-05,0.020627062706270627
ZMYM6,0.029749670724466857,0.0004878735201679918,8.276118070182608e-05,8.53672129075278e-06,0.009900990099009901,4.786860037589451e-05,0.0014349221181411522,2.5868852396220543e-05,0.020627062706270627
MAP7D1,0.029529244313866887,0.0005316895505422803,8.276118070182608e-05,2.8744572325600792e-05,0.009900990099009901,5.4494921763195405e-05,0.0015191130015493723,8.212734950171656e-05,0.020627062706270627
PLEKHM2,0.028688372673575047,0.0007344275564300506,8.276118070182608e-05,3.7618582438891934e-05,0.009900990099009901,5.051964270253735e-05,0.0020400765456390297,9.89962695760314e-05,0.020627062706270627
RCC1,0.025971812373162085,0.0019748190731797566,8.276118070182608e-05,3.524146408406814e-05,0.009900990099009901,4.139286940253984e-05,0.005337348846431775,9.52472002272112e-05,0.020627062706270627
ACADM,0.02481573985442753,0.0029339085196218306,8.276118070182608e-05,2.5870036323261125e-05,0.009900990099009901,3.7240132367124595e-05,0.00772081189374166,7.60883421272386e-05,0.020627062706270627
NOL9,0.023979661290831934,0.003870368816111025,8.276118070182608e-05,0.00035840840386591744,0.009900990099009901,5.267863027783026e-05,0.009889070231754171,0.0008960210096647936,0.020627062706270627
